Swatchos No.,C,M,Y,K,RGB Hex
108.4,75,0,38,0,#00B1AE
108.3,100,0,50,25,#017F78
108.2,100,0,50,50,#00605B
109.0,50,0,25,0,#89CCCA
109.1,50,0,25,75,#33514F
109.6,13,0,6,0,#E6F3F3
109.5,25,0,13,0,#CBE7E5
109.4,38,0,19,0,#ABD9D8
109.3,50,0,25,25,#71A7A5
109.2,50,0,25,50,#547E7C
110.0,100,25,50,0,#018387
110.1,100,25,50,75,#003334
110.6,25,6,13,0,#CADDE0
110.5,50,13,25,0,#8DBCC0
110.4,75,19,38,0,#339DA2
110.3,100,25,50,25,#006C6E
110.2,100,25,50,50,#005253
111.0,100,75,75,0,#1D4B4D
111.1,100,75,75,75,#051C1A
111.6,25,19,19,0,#CAC9CA
111.5,50,38,38,0,#939799
111.4,75,56,56,0,#596B6E
111.3,100,75,75,25,#173E3F
111.2,100,75,75,50,#0F2F2F
112.0,75,0,25,0,#00B3C4
112.1,75,0,25,75,#00474D
112.6,19,0,6,0,#D8EDF2
112.5,38,0,13,0,#ABDBE3
112.4,56,0,19,0,#73C7D4
112.3,75,0,25,25,#0092A0
112.2,75,0,25,50,#006F78
113.0,100,50,50,0,#006878
113.1,100,50,50,75,#00282E
113.6,25,13,13,0,#C9D3DA
113.5,50,25,25,0,#8FABB6
113.4,75,38,38,0,#498695
113.3,100,50,50,25,#005562
113.2,100,50,50,50,#00404A
114.0,100,0,25,0,#019CBC
114.1,100,0,25,75,#003D4A
114.6,25,0,6,0,#CAE8F1
114.5,50,0,13,0,#87CEE0
114.4,75,0,19,0,#00B4CF
114.3,100,0,25,25,#00809A
114.2,100,0,25,50,#006174
115.0,100,25,25,0,#0085AC
115.1,100,25,25,75,#003343
115.6,25,6,6,0,#C9DEEB
115.5,50,13,13,0,#8ABED5
115.4,75,19,19,0,#269FC0
115.3,100,25,25,25,#006D8C
115.2,100,25,25,50,#00526A
116.0,75,25,25,0,#3497B2
116.1,75,25,25,75,#0E3B46
116.6,19,6,6,0,#D7E3EC
116.5,38,13,13,0,#ACC9D8
116.4,56,19,19,0,#7AAFC5
116.3,75,25,25,25,#2E7C91
116.2,75,25,25,50,#215E6E
117.0,0,0,0,0,#FFFFFF
117.1,5,0,0,0,#F5FBFF
117.6,5,0,5,0,#F5FAF6
117.5,0,5,5,0,#FEF6F2
117.4,0,0,5,0,#FFFEF7
117.3,0,5,0,0,#FEF7FB
117.2,5,5,0,0,#F4F3FA
118.0,0,0,0,10,#EDEDED
118.1,0,0,0,5,#F6F6F6
118.6,10,10,10,0,#E9E4E3
118.5,2,0,0,10,#E9EBEC
118.4,4,0,0,10,#E5EAEC
118.3,0,4,4,10,#ECE6E3
118.2,0,2,2,10,#ECE9E8
119.0,0,0,0,20,#DADADA
119.1,0,0,0,15,#E3E3E3
119.6,20,20,20,0,#D4CAC8
119.5,4,0,0,20,#D3D7DA
119.4,8,0,0,20,#CCD4DA
119.3,0,8,8,20,#D8CEC9
119.2,0,4,4,20,#D9D4D2
120.0,0,0,0,30,#C6C6C6
120.1,0,0,0,25,#D0D0D0
120.6,30,30,30,0,#BFB1AC
120.5,6,0,0,30,#BDC2C6
120.4,12,0,0,30,#B3BEC5
120.3,0,12,12,30,#C3B5AF
120.2,0,6,6,30,#C5BEBB
121.0,0,0,0,40,#B2B2B2
121.1,0,0,0,35,#BDBCBC
121.6,40,40,40,0,#A99893
121.5,8,0,0,40,#A7AEB2
121.4,16,0,0,40,#9BA9B1
121.3,0,16,16,40,#AF9E96
121.2,0,8,8,40,#B1A8A5
122.0,0,0,0,50,#9D9D9C
122.1,0,0,0,45,#A8A8A7
122.6,50,50,50,0,#95817B
122.5,10,0,0,50,#91989C
122.4,20,0,0,50,#83929B
122.3,0,20,20,50,#99877E
122.2,0,10,10,50,#9B928E
123.0,0,0,0,60,#878787
123.1,0,0,0,55,#929292
123.6,60,60,60,0,#7F6B66
123.5,12,0,0,60,#7B8286
123.4,24,0,0,60,#6C7D85
123.3,0,24,24,60,#847067
123.2,0,12,12,60,#857C77
124.0,0,0,0,70,#706F6F
124.1,0,0,0,65,#7C7C7B
124.6,70,70,70,0,#6B5854
124.5,14,0,0,70,#636A6E
124.4,28,0,0,70,#55656D
124.3,0,28,28,70,#6C584F
124.2,0,14,14,70,#6E645F
125.0,0,0,0,80,#575756
125.1,0,0,0,75,#646363
125.6,80,80,80,0,#574744
125.5,16,0,0,80,#4B5256
125.4,32,0,0,80,#3E4E55
125.3,0,32,32,80,#554239
125.2,0,16,16,80,#564D48
126.0,0,0,0,90,#3C3C3B
126.1,0,0,0,85,#4A4A49
126.6,90,90,90,0,#453B39
126.5,18,0,0,90,#32383B
126.4,36,0,0,90,#25343B
126.3,0,36,36,90,#3C2A22
126.2,0,18,18,90,#3C342F
127.0,0,0,0,100,#1D1D1B
127.1,0,0,0,95,#2E2D2C
127.6,100,100,100,0,#323230
127.5,20,0,0,100,#131A1C
127.4,40,0,0,100,#05171D
127.3,0,40,40,100,#201005
127.2,0,20,20,100,#1E1611
128.0,60,0,0,100,#00141E
128.1,50,50,0,90,#211A2C
128.6,0,50,50,90,#3B2216
128.5,0,50,50,100,#200C00
128.4,50,0,50,90,#193022
128.3,50,0,50,100,#00170A
128.2,50,50,0,100,#0D0213
129.0,60,60,60,100,#090400
129.1,50,0,0,90,#17313A
129.6,0,50,0,90,#3C222C
129.5,0,50,0,100,#210810
129.4,0,0,50,90,#3B3A21
129.3,0,0,50,100,#1C1C07
129.2,50,0,0,100,#00151D
